epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,455.08,0.73985,0.93276,0.619,0.93767,0.99926,0.95833,0.97085,0.85325,0.99926,0.95833,0.97085,0.8033,0.5054,0.6383,0.45716,0.73604,0.0010694,0.0010694,0.0010694
96,460.025,0.74604,0.92434,0.59493,0.92882,0.99609,0.95833,0.96573,0.84348,0.99609,0.95833,0.96573,0.80708,0.49344,0.58236,0.49547,0.73924,0.0010595,0.0010595,0.0010595
97,464.987,0.72892,0.86944,0.5938,0.90983,0.98435,0.95833,0.96582,0.8567,0.98435,0.95833,0.96582,0.80525,0.49265,0.57253,0.48661,0.74823,0.0010496,0.0010496,0.0010496
98,469.902,0.73106,0.90629,0.63768,0.9427,0.98212,0.95833,0.96632,0.86275,0.98212,0.95833,0.96632,0.82519,0.47095,0.54068,0.4629,0.73171,0.0010397,0.0010397,0.0010397
99,474.955,0.71132,0.87787,0.58329,0.92484,0.98333,0.95833,0.96528,0.85352,0.98333,0.95833,0.96528,0.81173,0.48843,0.53615,0.45103,0.73576,0.0010298,0.0010298,0.0010298
100,479.885,0.71793,0.93511,0.62191,0.91191,0.99719,0.95833,0.96346,0.80986,0.99719,0.95833,0.96346,0.78746,0.6807,0.57443,0.48389,0.8622,0.0010199,0.0010199,0.0010199
101,484.872,0.80146,0.91067,0.63914,0.97508,0.99856,0.95833,0.96471,0.82204,0.99856,0.95833,0.96471,0.78899,0.62492,0.57681,0.46689,0.82386,0.00101,0.00101,0.00101
102,489.764,0.75458,0.93831,0.61641,0.9404,0.99904,0.95833,0.96622,0.84345,0.99904,0.95833,0.96622,0.80863,0.56236,0.57559,0.4628,0.77638,0.0010001,0.0010001,0.0010001
103,494.783,0.72985,0.89858,0.63179,0.94638,1,0.95786,0.96784,0.84472,1,0.95786,0.96784,0.81452,0.53658,0.57846,0.45797,0.75181,0.0009902,0.0009902,0.0009902
104,499.741,0.67526,0.8325,0.57151,0.90486,0.98569,0.95645,0.96941,0.84727,0.98569,0.95645,0.96941,0.81465,0.52052,0.538,0.44898,0.73973,0.0009803,0.0009803,0.0009803
